species,pu,amount
12,0,76146210.79643922
21,0,0.0009177353075160668
12,1,40524764.27550471
21,1,0.0010546339844641926
12,2,181154249.445363
21,2,0.0011108792592750194
12,3,106351934.752169
21,3,0.001106275489337675
12,4,23406928.269807
21,4,0.001024038404684363
18,5,11996.1768717168
21,5,0.0008328644895495793
12,6,67072157.2087865
21,6,0.0010946458871692578
12,7,170718813.789112
21,7,0.0012093892602288614
12,8,62128511.6519389
21,8,0.0013969718505152408
21,9,0.0014098338710228707
21,10,0.001374362368172506
18,11,10128.3701042794
21,11,0.0010281342258017577
18,12,279618.514689053
21,12,0.0009725557955200173
12,13,15111054.508295001
21,13,0.0012972721464445192
12,14,182603975.642256
21,14,0.0014285825702520228
12,15,35951568.0605489
21,15,0.0016308993817614893
21,16,0.001660630027787093
21,17,0.0016514503453087738
21,18,0.0015500150767130518
21,19,0.0011957821096614013
12,20,17455806.954698402
21,20,0.001106165427350945
12,21,21646436.5207734
21,21,0.0012617415067332836
12,22,35248463.243565395
21,22,0.0013529653844612532
12,23,141508968.252377
21,23,0.0014997959615272248
12,24,1754350.25191392
21,24,0.0016737141272084902
21,25,0.0017074768389884584
21,26,0.0017055089738461802
17,27,9189314.51990268
21,27,0.001661922295908654
21,28,0.0013209842025061578
21,29,0.0012083129127636624
12,30,17578132.3531318
21,30,0.0012315535983966489
7,31,67295551.74342321
12,31,49784149.3423198
21,31,0.001241404587131158
7,32,161475533.674425
12,32,25688034.000726998
21,32,0.0013032516932164628
7,33,43577191.4529019
12,33,136280246.11794698
21,33,0.0014819755387390312
12,34,86756540.6376927
21,34,0.0016369224815558643
21,35,0.0016994150182413777
21,36,0.0017233012731313077
21,37,0.00172588236152485
17,38,87180607.3660693
21,38,0.0017065548976001972
8,39,3598564.8604141
21,39,0.0015991797982303697
17,40,4715152.0560086
21,40,0.0012458258083128965
12,41,6026779.19367021
21,41,0.0010774229693299093
7,42,6161964.89536068
12,42,46081999.84464721
14,42,603189.675198246
21,42,0.0012244672908363157
7,43,116777992.73864399
12,43,60462379.63910329
14,43,1895887.64069539
21,43,0.001288971908946315
7,44,57446015.225354396
12,44,74182968.2906011
21,44,0.0013405028522400523
7,45,187659034.348753
21,45,0.0015884662556007738
7,46,119605723.672292
12,46,2064.55900422391
21,46,0.0016524393683196833
7,47,1677143.50966728
