id,name,sepdistance,sepnum,spf,target,target2,targetocc,type
1,BIORE_3,0.0,0.0,1000,158276000.0,0.0,0.0,0.0
2,BIORE_4,0.0,0.0,1000,34816000.0,0.0,0.0,0.0
3,BIORE_13,0.0,0.0,1000,3426000.0,0.0,0.0,0.0
4,BIORE_15,0.0,0.0,1000,2916000.0,0.0,0.0,0.0
5,BIORE_16,0.0,0.0,1000,3452000.0,0.0,0.0,0.0
6,BIORE_23,0.0,0.0,1000,21938000.0,0.0,0.0,0.0
7,BIORE_26,0.0,0.0,1000,283046000.0,0.0,0.0,0.0
8,BIORE_27,0.0,0.0,1000,311726000.0,0.0,0.0,0.0
9,BIORE_29,0.0,0.0,1000,3054000.0,0.0,0.0,0.0
10,BIORE_102,0.0,0.0,1000,2000.0,0.0,0.0,0.0
11,BIORE_103,0.0,0.0,1000,2000.0,0.0,0.0,0.0
12,BIORE_114,0.0,0.0,1000,8000.0,0.0,0.0,0.0
13,BIORE_116,0.0,0.0,1000,14000.0,0.0,0.0,0.0
14,BIORE_117,0.0,0.0,1000,34000.0,0.0,0.0,0.0
15,BIORE_118,0.0,0.0,1000,22000.0,0.0,0.0,0.0
16,BIORE_119,0.0,0.0,1000,2000.0,0.0,0.0,0.0
17,BIORE_121,0.0,0.0,1000,30000.0,0.0,0.0,0.0
18,BIORE_132,0.0,0.0,1000,6000.0,0.0,0.0,0.0
19,BIORE_142,0.0,0.0,1000,16000.0,0.0,0.0,0.0
20,BIORE_147,0.0,0.0,1000,4000.0,0.0,0.0,0.0
21,depth500_0to7,0.0,0.0,1000,50.430578000000004,0.0,0.0,0.0
22,depth500_7to10,0.0,0.0,1000,94.14976,0.0,0.0,0.0
23,depth500_10to15,0.0,0.0,1000,222.77106,0.0,0.0,0.0
24,depth500_15to30,0.0,0.0,1000,417.25368,0.0,0.0,0.0
25,depth500_30more,0.0,0.0,1000,167.9213,0.0,0.0,0.0
26,out_degree_demo_pu,0.0,0.0,1000,28876.5,0.0,0.0,0.0
27,between_cent_demo_pu,0.0,0.0,1000,28932.000000000004,0.0,0.0,0.0
28,fa_recipients_demo_pu,0.0,0.0,1000,180.33099919482927,0.0,0.0,0.0
29,self_recruit_demo_pu,0.0,0.0,1000,0.32375007290652663,0.0,0.0,0.0
30,google_demo_pu,0.0,0.0,1000,0.5000000000000001,0.0,0.0,0.0
31,outflow_demo_pu,0.0,0.0,1000,180.3309991948292,0.0,0.0,0.0
32,fa_donors_demo_pu,0.0,0.0,1000,180.3309991948292,0.0,0.0,0.0
33,in_degree_demo_pu,0.0,0.0,1000,28876.5,0.0,0.0,0.0
34,aa_recipients_demo_pu,0.0,0.0,1000,7835.498243895494,0.0,0.0,0.0
35,inflow_demo_pu,0.0,0.0,1000,180.33099919482927,0.0,0.0,0.0
36,eig_vect_cent_demo_pu,0.0,0.0,1000,160.49999999999054,0.0,0.0,0.0
37,aa_donors_demo_pu,0.0,0.0,1000,5140.863007786935,0.0,0.0,0.0
38,local_retention_demo_pu,0.0,0.0,1000,0.17812077489338501,0.0,0.0,0.0
